train_number,train_name,source_station,source_code,destination_station,destination_code,departure_time,arrival_time,distance_km,duration_hours,duration_min,stops,class_type,fare
14317,INDORE - DEHRADUN Exp,INDORE JN BG,INDB,DEHRADUN,DDN,15.05.00,19.00.00,1183,27,1620,15,SL,729.8
14317,INDORE - DEHRADUN Exp,INDORE JN BG,INDB,DEHRADUN,DDN,15.05.00,19.00.00,1183,27,1620,15,3A,1903.22
14317,INDORE - DEHRADUN Exp,INDORE JN BG,INDB,DEHRADUN,DDN,15.05.00,19.00.00,1183,27,1620,15,2A,3165.38
14318,DEHRADUN - INDORE Exp,DEHRADUN,DDN,INDORE JN BG,INDB,6.00.00,6.35.00,1179,24,1440,15,SL,727.4
14318,DEHRADUN - INDORE Exp,DEHRADUN,DDN,INDORE JN BG,INDB,6.00.00,6.35.00,1179,24,1440,15,3A,1896.92
14318,DEHRADUN - INDORE Exp,DEHRADUN,DDN,INDORE JN BG,INDB,6.00.00,6.35.00,1179,24,1440,15,2A,3154.88
14321,BAREILLY - BHUJ Ala Hazrat Exp,BAREILLY,BE,BHUJ,BHUJ,6.25.00,10.15.00,1410,27,1620,18,SL,866
14321,BAREILLY - BHUJ Ala Hazrat Exp,BAREILLY,BE,BHUJ,BHUJ,6.25.00,10.15.00,1410,27,1620,18,3A,2260.75
14321,BAREILLY - BHUJ Ala Hazrat Exp,BAREILLY,BE,BHUJ,BHUJ,6.25.00,10.15.00,1410,27,1620,18,2A,3761.25
19131,MUMBAI BANDRA - BHUJ Kutch Exp,MUMBAI BANDRA TERMINUS,BDTS,BHUJ,BHUJ,17.10.00,9.30.00,839,16,960,10,SL,523.4
19131,MUMBAI BANDRA - BHUJ Kutch Exp,MUMBAI BANDRA TERMINUS,BDTS,BHUJ,BHUJ,17.10.00,9.30.00,839,16,960,10,3A,1361.42
19131,MUMBAI BANDRA - BHUJ Kutch Exp,MUMBAI BANDRA TERMINUS,BDTS,BHUJ,BHUJ,17.10.00,9.30.00,839,16,960,10,2A,2262.38
40555,Chennai Beach Chengalpet Semi Fast EMU,CHENNAI BEACH,MSB,CHENGALPATTU,CGL,18.30.00,20.10.00,59,1,60,1,SL,55.4
40555,Chennai Beach Chengalpet Semi Fast EMU,CHENNAI BEACH,MSB,CHENGALPATTU,CGL,18.30.00,20.10.00,59,1,60,1,3A,132.93
40555,Chennai Beach Chengalpet Semi Fast EMU,CHENNAI BEACH,MSB,CHENGALPATTU,CGL,18.30.00,20.10.00,59,1,60,1,2A,214.88
14322,BHUJ - BAREILLY Ala Hazrat Exp,BHUJ,BHUJ,BAREILLY,BE,16.20.00,20.20.00,1410,28,1680,18,SL,866
14322,BHUJ - BAREILLY Ala Hazrat Exp,BHUJ,BHUJ,BAREILLY,BE,16.20.00,20.20.00,1410,28,1680,18,3A,2260.75
14322,BHUJ - BAREILLY Ala Hazrat Exp,BHUJ,BHUJ,BAREILLY,BE,16.20.00,20.20.00,1410,28,1680,18,2A,3761.25
14323,New Delhi-Rohtak Express,NEW DELHI,NDLS,ROHTAK JN,ROK,10.35.00,12.45.00,72,2,120,1,SL,63.2
14323,New Delhi-Rohtak Express,NEW DELHI,NDLS,ROHTAK JN,ROK,10.35.00,12.45.00,72,2,120,1,3A,153.4
14323,New Delhi-Rohtak Express,NEW DELHI,NDLS,ROHTAK JN,ROK,10.35.00,12.45.00,72,2,120,1,2A,249
14324,New Delhi Express,ROHTAK JN,ROK,NEW DELHI,NDLS,14.15.00,16.00.00,72,1,60,1,SL,63.2
14324,New Delhi Express,ROHTAK JN,ROK,NEW DELHI,NDLS,14.15.00,16.00.00,72,1,60,1,3A,153.4
14324,New Delhi Express,ROHTAK JN,ROK,NEW DELHI,NDLS,14.15.00,16.00.00,72,1,60,1,2A,249
14369,Tribeni Express,SINGRAULI,SGRL,BAREILLY,BE,18.25.00,12.30.00,723,18,1080,9,SL,453.8
14369,Tribeni Express,SINGRAULI,SGRL,BAREILLY,BE,18.25.00,12.30.00,723,18,1080,9,3A,1178.72
14369,Tribeni Express,SINGRAULI,SGRL,BAREILLY,BE,18.25.00,12.30.00,723,18,1080,9,2A,1957.88
14370,Triveni Express,BAREILLY,BE,SINGRAULI,SGRL,12.00.00,7.15.00,723,19,1140,9,SL,453.8
14370,Triveni Express,BAREILLY,BE,SINGRAULI,SGRL,12.00.00,7.15.00,723,19,1140,9,3A,1178.72
14370,Triveni Express,BAREILLY,BE,SINGRAULI,SGRL,12.00.00,7.15.00,723,19,1140,9,2A,1957.88
14370-Slip,Triveni Express Slip,BAREILLY,BE,BARWADIH JN,BRWD,12.00.00,10.45.00,862,22,1320,11,SL,537.2
14370-Slip,Triveni Express Slip,BAREILLY,BE,BARWADIH JN,BRWD,12.00.00,10.45.00,862,22,1320,11,3A,1397.65
14370-Slip,Triveni Express Slip,BAREILLY,BE,BARWADIH JN,BRWD,12.00.00,10.45.00,862,22,1320,11,2A,2322.75
14511-Slip,Allahabad-Saharanpur Nauchandi Express Slip,ALLAHABAD JN,ALD,KHURJA JN,KRJ,17.40.00,9.15.00,695,15,900,9,SL,437
14511-Slip,Allahabad-Saharanpur Nauchandi Express Slip,ALLAHABAD JN,ALD,KHURJA JN,KRJ,17.40.00,9.15.00,695,15,900,9,3A,1134.62
14511-Slip,Allahabad-Saharanpur Nauchandi Express Slip,ALLAHABAD JN,ALD,KHURJA JN,KRJ,17.40.00,9.15.00,695,15,900,9,2A,1884.38
14512,Saharanpur-Allahabad Nauchandi Express,SAHARANPUR,SRE,ALLAHABAD JN,ALD,16.45.00,9.55.00,774,17,1020,10,SL,484.4
14512,Saharanpur-Allahabad Nauchandi Express,SAHARANPUR,SRE,ALLAHABAD JN,ALD,16.45.00,9.55.00,774,17,1020,10,3A,1259.05
14512,Saharanpur-Allahabad Nauchandi Express,SAHARANPUR,SRE,ALLAHABAD JN,ALD,16.45.00,9.55.00,774,17,1020,10,2A,2091.75
14519,Kissan Express,OLD DELHI,DLI,BHATINDA JN,BTI,14.55.00,22.20.00,337,7,420,4,SL,222.2
14519,Kissan Express,OLD DELHI,DLI,BHATINDA JN,BTI,14.55.00,22.20.00,337,7,420,4,3A,570.77
14519,Kissan Express,OLD DELHI,DLI,BHATINDA JN,BTI,14.55.00,22.20.00,337,7,420,4,2A,944.62
14520,Kisan Express,BHATINDA JN,BTI,OLD DELHI,DLI,6.55.00,14.20.00,337,7,420,4,SL,222.2
14520,Kisan Express,BHATINDA JN,BTI,OLD DELHI,DLI,6.55.00,14.20.00,337,7,420,4,3A,570.77
14520,Kisan Express,BHATINDA JN,BTI,OLD DELHI,DLI,6.55.00,14.20.00,337,7,420,4,2A,944.62
14524,Harihar Express,AMBALA CANT JN,UMB,MUZAFFARPUR JN,MFP,22.35.00,23.50.00,1201,25,1500,15,SL,740.6
14524,Harihar Express,AMBALA CANT JN,UMB,MUZAFFARPUR JN,MFP,22.35.00,23.50.00,1201,25,1500,15,3A,1931.58
14524,Harihar Express,AMBALA CANT JN,UMB,MUZAFFARPUR JN,MFP,22.35.00,23.50.00,1201,25,1500,15,2A,3212.62
14525,Ambala Cantt-Shri GangaNagar InterCity Express,AMBALA CANT JN,UMB,SHRI GANGANAGAR,SGNR,5.15.00,12.25.00,328,7,420,4,SL,216.8
14525,Ambala Cantt-Shri GangaNagar InterCity Express,AMBALA CANT JN,UMB,SHRI GANGANAGAR,SGNR,5.15.00,12.25.00,328,7,420,4,3A,556.6
14525,Ambala Cantt-Shri GangaNagar InterCity Express,AMBALA CANT JN,UMB,SHRI GANGANAGAR,SGNR,5.15.00,12.25.00,328,7,420,4,2A,921
14526,Shri Ganganagar-Ambala Cantt InterCity Express,SHRI GANGANAGAR,SGNR,AMBALA CANT JN,UMB,14.00.00,20.55.00,328,6,360,4,SL,216.8
14526,Shri Ganganagar-Ambala Cantt InterCity Express,SHRI GANGANAGAR,SGNR,AMBALA CANT JN,UMB,14.00.00,20.55.00,328,6,360,4,3A,556.6
14526,Shri Ganganagar-Ambala Cantt InterCity Express,SHRI GANGANAGAR,SGNR,AMBALA CANT JN,UMB,14.00.00,20.55.00,328,6,360,4,2A,921
14545,Farukhnagar Saharanpur Express,Farukhnagar,FN,SAHARANPUR,SRE,13.10.00,21.20.00,216,8,480,3,SL,149.6
14545,Farukhnagar Saharanpur Express,Farukhnagar,FN,SAHARANPUR,SRE,13.10.00,21.20.00,216,8,480,3,3A,380.2
14545,Farukhnagar Saharanpur Express,Farukhnagar,FN,SAHARANPUR,SRE,13.10.00,21.20.00,216,8,480,3,2A,627
14546,Saharanpur Farukhnagar Express,SAHARANPUR,SRE,Farukhnagar,FN,6.05.00,12.40.00,216,6,360,3,SL,149.6
14546,Saharanpur Farukhnagar Express,SAHARANPUR,SRE,Farukhnagar,FN,6.05.00,12.40.00,216,6,360,3,3A,380.2
14546,Saharanpur Farukhnagar Express,SAHARANPUR,SRE,Farukhnagar,FN,6.05.00,12.40.00,216,6,360,3,2A,627
14553,Himachal Express,OLD DELHI,DLI,Una Himachal,UHL,22.45.00,7.50.00,371,9,540,5,SL,242.6
14553,Himachal Express,OLD DELHI,DLI,Una Himachal,UHL,22.45.00,7.50.00,371,9,540,5,3A,624.33
14553,Himachal Express,OLD DELHI,DLI,Una Himachal,UHL,22.45.00,7.50.00,371,9,540,5,2A,1033.88
14554,Himachal Express,Una Himachal,UHL,OLD DELHI,DLI,20.50.00,5.30.00,371,8,480,5,SL,242.6
14554,Himachal Express,Una Himachal,UHL,OLD DELHI,DLI,20.50.00,5.30.00,371,8,480,5,3A,624.33
14554,Himachal Express,Una Himachal,UHL,OLD DELHI,DLI,20.50.00,5.30.00,371,8,480,5,2A,1033.88
14555,Bareilly-Delhi Express,BAREILLY,BE,OLD DELHI,DLI,14.30.00,21.25.00,274,6,360,3,SL,184.4
14555,Bareilly-Delhi Express,BAREILLY,BE,OLD DELHI,DLI,14.30.00,21.25.00,274,6,360,3,3A,471.55
14555,Bareilly-Delhi Express,BAREILLY,BE,OLD DELHI,DLI,14.30.00,21.25.00,274,6,360,3,2A,779.25
14556,Delhi-Bareilly Express,OLD DELHI,DLI,BAREILLY,BE,6.05.00,13.00.00,274,6,360,3,SL,184.4
14556,Delhi-Bareilly Express,OLD DELHI,DLI,BAREILLY,BE,6.05.00,13.00.00,274,6,360,3,3A,471.55
14556,Delhi-Bareilly Express,OLD DELHI,DLI,BAREILLY,BE,6.05.00,13.00.00,274,6,360,3,2A,779.25
14603,SAHARSA - AMRITSAR Jan Sadharan Exp,SAHARSA JN,SHC,AMRITSAR JN,ASR,16.20.00,2.50.00,1580,34,2040,20,SL,968
14603,SAHARSA - AMRITSAR Jan Sadharan Exp,SAHARSA JN,SHC,AMRITSAR JN,ASR,16.20.00,2.50.00,1580,34,2040,20,3A,2528.5
14603,SAHARSA - AMRITSAR Jan Sadharan Exp,SAHARSA JN,SHC,AMRITSAR JN,ASR,16.20.00,2.50.00,1580,34,2040,20,2A,4207.5
14609,Hemkunt Express,RISHIKESH,RKSH,JAMMU TAWI,JAT,16.20.00,4.30.00,558,12,720,7,SL,354.8
14609,Hemkunt Express,RISHIKESH,RKSH,JAMMU TAWI,JAT,16.20.00,4.30.00,558,12,720,7,3A,918.85
14609,Hemkunt Express,RISHIKESH,RKSH,JAMMU TAWI,JAT,16.20.00,4.30.00,558,12,720,7,2A,1524.75
14610,Hemkunt Express,JAMMU TAWI,JAT,RISHIKESH,RKSH,18.40.00,8.00.00,558,13,780,7,SL,354.8
14610,Hemkunt Express,JAMMU TAWI,JAT,RISHIKESH,RKSH,18.40.00,8.00.00,558,13,780,7,3A,918.85
14610,Hemkunt Express,JAMMU TAWI,JAT,RISHIKESH,RKSH,18.40.00,8.00.00,558,13,780,7,2A,1524.75
14629,Ludhiana Firozpur Sutlej Express,LUDHIANA JN,LDH,FIROZPUR CANT,FZR,7.15.00,9.40.00,124,2,120,2,SL,94.4
14629,Ludhiana Firozpur Sutlej Express,LUDHIANA JN,LDH,FIROZPUR CANT,FZR,7.15.00,9.40.00,124,2,120,2,3A,235.3
14629,Ludhiana Firozpur Sutlej Express,LUDHIANA JN,LDH,FIROZPUR CANT,FZR,7.15.00,9.40.00,124,2,120,2,2A,385.5
14630,Firozpur Ludhiana Sutlej Express,FIROZPUR CANT,FZR,LUDHIANA JN,LDH,17.20.00,19.55.00,124,2,120,2,SL,94.4
14630,Firozpur Ludhiana Sutlej Express,FIROZPUR CANT,FZR,LUDHIANA JN,LDH,17.20.00,19.55.00,124,2,120,2,3A,235.3
14630,Firozpur Ludhiana Sutlej Express,FIROZPUR CANT,FZR,LUDHIANA JN,LDH,17.20.00,19.55.00,124,2,120,2,2A,385.5
14631,Dehradun Amritsar Express,DEHRADUN,DDN,AMRITSAR JN,ASR,19.40.00,7.30.00,463,11,660,6,SL,297.8
14631,Dehradun Amritsar Express,DEHRADUN,DDN,AMRITSAR JN,ASR,19.40.00,7.30.00,463,11,660,6,3A,769.23
14631,Dehradun Amritsar Express,DEHRADUN,DDN,AMRITSAR JN,ASR,19.40.00,7.30.00,463,11,660,6,2A,1275.38
14632,Amritsar Dehradun Express,AMRITSAR JN,ASR,DEHRADUN,DDN,22.15.00,10.05.00,463,11,660,6,SL,297.8
14632,Amritsar Dehradun Express,AMRITSAR JN,ASR,DEHRADUN,DDN,22.15.00,10.05.00,463,11,660,6,3A,769.23
14632,Amritsar Dehradun Express,AMRITSAR JN,ASR,DEHRADUN,DDN,22.15.00,10.05.00,463,11,660,6,2A,1275.38
14633,Ravi Express,AMRITSAR JN,ASR,PATHANKOT,PTK,9.15.00,11.40.00,107,2,120,1,SL,84.2
14633,Ravi Express,AMRITSAR JN,ASR,PATHANKOT,PTK,9.15.00,11.40.00,107,2,120,1,3A,208.53
14633,Ravi Express,AMRITSAR JN,ASR,PATHANKOT,PTK,9.15.00,11.40.00,107,2,120,1,2A,340.88
14634,Ravi Express,PATHANKOT,PTK,AMRITSAR JN,ASR,14.15.00,16.40.00,107,2,120,1,SL,84.2
14634,Ravi Express,PATHANKOT,PTK,AMRITSAR JN,ASR,14.15.00,16.40.00,107,2,120,1,3A,208.53
14634,Ravi Express,PATHANKOT,PTK,AMRITSAR JN,ASR,14.15.00,16.40.00,107,2,120,1,2A,340.88
14645,Shalimar Express,OLD DELHI,DLI,JAMMU TAWI,JAT,15.50.00,5.15.00,640,13,780,8,SL,404
14645,Shalimar Express,OLD DELHI,DLI,JAMMU TAWI,JAT,15.50.00,5.15.00,640,13,780,8,3A,1048
14645,Shalimar Express,OLD DELHI,DLI,JAMMU TAWI,JAT,15.50.00,5.15.00,640,13,780,8,2A,1740
14646,Shalimar Express,JAMMU TAWI,JAT,OLD DELHI,DLI,21.00.00,10.55.00,640,13,780,8,SL,404
14646,Shalimar Express,JAMMU TAWI,JAT,OLD DELHI,DLI,21.00.00,10.55.00,640,13,780,8,3A,1048
14646,Shalimar Express,JAMMU TAWI,JAT,OLD DELHI,DLI,21.00.00,10.55.00,640,13,780,8,2A,1740
14650,Saryu Yamuna Express,AMRITSAR JN,ASR,JAYNAGAR,JYG,11.55.00,2.00.00,1670,38,2280,21,SL,1022
14650,Saryu Yamuna Express,AMRITSAR JN,ASR,JAYNAGAR,JYG,11.55.00,2.00.00,1670,38,2280,21,3A,2670.25
14650,Saryu Yamuna Express,AMRITSAR JN,ASR,JAYNAGAR,JYG,11.55.00,2.00.00,1670,38,2280,21,2A,4443.75
14659-Slip,Delhi-Jaisalmer Express Slip,OLD DELHI,DLI,BARMER,BME,17.30.00,9.45.00,829,16,960,10,SL,517.4
14659-Slip,Delhi-Jaisalmer Express Slip,OLD DELHI,DLI,BARMER,BME,17.30.00,9.45.00,829,16,960,10,3A,1345.67
14659-Slip,Delhi-Jaisalmer Express Slip,OLD DELHI,DLI,BARMER,BME,17.30.00,9.45.00,829,16,960,10,2A,2236.12
14660,Jaisalmer Delhi Express,JAISALMER,JSM,OLD DELHI,DLI,17.15.00,11.10.00,918,17,1020,11,SL,570.8
14660,Jaisalmer Delhi Express,JAISALMER,JSM,OLD DELHI,DLI,17.15.00,11.10.00,918,17,1020,11,3A,1485.85
14660,Jaisalmer Delhi Express,JAISALMER,JSM,OLD DELHI,DLI,17.15.00,11.10.00,918,17,1020,11,2A,2469.75
14661,Delhi Barmer Link Express,JODHPUR JN,JU,BARMER,BME,5.05.00,9.45.00,209,4,240,3,SL,145.4
14661,Delhi Barmer Link Express,JODHPUR JN,JU,BARMER,BME,5.05.00,9.45.00,209,4,240,3,3A,369.18
14661,Delhi Barmer Link Express,JODHPUR JN,JU,BARMER,BME,5.05.00,9.45.00,209,4,240,3,2A,608.62
14662,Barmer-Delhi MALANI Express,BARMER,BME,OLD DELHI,DLI,18.30.00,11.10.00,829,16,960,10,SL,517.4
14662,Barmer-Delhi MALANI Express,BARMER,BME,OLD DELHI,DLI,18.30.00,11.10.00,829,16,960,10,3A,1345.67
14662,Barmer-Delhi MALANI Express,BARMER,BME,OLD DELHI,DLI,18.30.00,11.10.00,829,16,960,10,2A,2236.12
14673,Shaheed Express,JAYNAGAR,JYG,AMRITSAR JN,ASR,6.30.00,22.55.00,1654,40,2400,21,SL,1012.4
14673,Shaheed Express,JAYNAGAR,JYG,AMRITSAR JN,ASR,6.30.00,22.55.00,1654,40,2400,21,3A,2645.05
14673,Shaheed Express,JAYNAGAR,JYG,AMRITSAR JN,ASR,6.30.00,22.55.00,1654,40,2400,21,2A,4401.75
14674,Shaheed Express,AMRITSAR JN,ASR,JAYNAGAR,JYG,11.55.00,2.00.00,1654,38,2280,21,SL,1012.4
14674,Shaheed Express,AMRITSAR JN,ASR,JAYNAGAR,JYG,11.55.00,2.00.00,1654,38,2280,21,3A,2645.05
14674,Shaheed Express,AMRITSAR JN,ASR,JAYNAGAR,JYG,11.55.00,2.00.00,1654,38,2280,21,2A,4401.75
14681,New Delhi-Jalandhar Express,NEW DELHI,NDLS,JALANDHAR CITY,JUC,14.50.00,23.30.00,439,8,480,5,SL,283.4
14681,New Delhi-Jalandhar Express,NEW DELHI,NDLS,JALANDHAR CITY,JUC,14.50.00,23.30.00,439,8,480,5,3A,731.42
14681,New Delhi-Jalandhar Express,NEW DELHI,NDLS,JALANDHAR CITY,JUC,14.50.00,23.30.00,439,8,480,5,2A,1212.38
14682,Jalandhar NDLS Express,JALANDHAR CITY,JUC,NEW DELHI,NDLS,4.20.00,12.50.00,439,8,480,5,SL,283.4
14682,Jalandhar NDLS Express,JALANDHAR CITY,JUC,NEW DELHI,NDLS,4.20.00,12.50.00,439,8,480,5,3A,731.42
14682,Jalandhar NDLS Express,JALANDHAR CITY,JUC,NEW DELHI,NDLS,4.20.00,12.50.00,439,8,480,5,2A,1212.38
14701,Jaisalmer-Bikaner Express,JAISALMER,JSM,BIKANER JN,BKN,22.40.00,4.35.00,327,5,300,4,SL,216.2
14701,Jaisalmer-Bikaner Express,JAISALMER,JSM,BIKANER JN,BKN,22.40.00,4.35.00,327,5,300,4,3A,555.02
14701,Jaisalmer-Bikaner Express,JAISALMER,JSM,BIKANER JN,BKN,22.40.00,4.35.00,327,5,300,4,2A,918.38
14702,Bikaner-Jaisalmer Express,BIKANER JN,BKN,JAISALMER,JSM,23.35.00,5.30.00,327,5,300,4,SL,216.2
14702,Bikaner-Jaisalmer Express,BIKANER JN,BKN,JAISALMER,JSM,23.35.00,5.30.00,327,5,300,4,3A,555.02
14702,Bikaner-Jaisalmer Express,BIKANER JN,BKN,JAISALMER,JSM,23.35.00,5.30.00,327,5,300,4,2A,918.38
14703,Bikaner Express,JAISALMER,JSM,LALGARH JN,LGH,11.10.00,16.35.00,323,5,300,4,SL,213.8
14703,Bikaner Express,JAISALMER,JSM,LALGARH JN,LGH,11.10.00,16.35.00,323,5,300,4,3A,548.73
14703,Bikaner Express,JAISALMER,JSM,LALGARH JN,LGH,11.10.00,16.35.00,323,5,300,4,2A,907.88
14704,Jaisalmer Express,LALGARH JN,LGH,JAISALMER,JSM,7.20.00,13.20.00,323,6,360,4,SL,213.8
14704,Jaisalmer Express,LALGARH JN,LGH,JAISALMER,JSM,7.20.00,13.20.00,323,6,360,4,3A,548.73
14704,Jaisalmer Express,LALGARH JN,LGH,JAISALMER,JSM,7.20.00,13.20.00,323,6,360,4,2A,907.88
14705,Delhi Sarai Rohilla Sadulpur Express,DELHI SARAI ROHILLA,DEE,Sadulpur Junction,SDLP,8.40.00,12.50.00,220,4,240,3,SL,152
14705,Delhi Sarai Rohilla Sadulpur Express,DELHI SARAI ROHILLA,DEE,Sadulpur Junction,SDLP,8.40.00,12.50.00,220,4,240,3,3A,386.5
14705,Delhi Sarai Rohilla Sadulpur Express,DELHI SARAI ROHILLA,DEE,Sadulpur Junction,SDLP,8.40.00,12.50.00,220,4,240,3,2A,637.5
14706,Sadulpur Delhi Sarai Rohilla Express,Sadulpur Junction,SDLP,DELHI SARAI ROHILLA,DEE,16.10.00,20.25.00,220,4,240,3,SL,152
14706,Sadulpur Delhi Sarai Rohilla Express,Sadulpur Junction,SDLP,DELHI SARAI ROHILLA,DEE,16.10.00,20.25.00,220,4,240,3,3A,386.5
14706,Sadulpur Delhi Sarai Rohilla Express,Sadulpur Junction,SDLP,DELHI SARAI ROHILLA,DEE,16.10.00,20.25.00,220,4,240,3,2A,637.5
15011,LUCKNOW - CHANDIGARH Exp,LUCKNOW JN,LJN,CHANDIGARH,CDG,22.55.00,14.50.00,724,15,900,9,SL,454.4
15011,LUCKNOW - CHANDIGARH Exp,LUCKNOW JN,LJN,CHANDIGARH,CDG,22.55.00,14.50.00,724,15,900,9,3A,1180.3
15011,LUCKNOW - CHANDIGARH Exp,LUCKNOW JN,LJN,CHANDIGARH,CDG,22.55.00,14.50.00,724,15,900,9,2A,1960.5
15012,CHANDIGARH - LUCKNOW Exp,CHANDIGARH,CDG,LUCKNOW JN,LJN,17.10.00,9.05.00,724,15,900,9,SL,454.4
15012,CHANDIGARH - LUCKNOW Exp,CHANDIGARH,CDG,LUCKNOW JN,LJN,17.10.00,9.05.00,724,15,900,9,3A,1180.3
15012,CHANDIGARH - LUCKNOW Exp,CHANDIGARH,CDG,LUCKNOW JN,LJN,17.10.00,9.05.00,724,15,900,9,2A,1960.5
13103,Bhagirathi Express,KOLKATA SEALDAH,SDAH,Lalgola,LGL,18.25.00,22.55.00,227,4,240,3,SL,156.2
13103,Bhagirathi Express,KOLKATA SEALDAH,SDAH,Lalgola,LGL,18.25.00,22.55.00,227,4,240,3,3A,397.52
13103,Bhagirathi Express,KOLKATA SEALDAH,SDAH,Lalgola,LGL,18.25.00,22.55.00,227,4,240,3,2A,655.88
13245,Capital Express,NEW JALPAIGURI,NJP,DANAPUR,DNR,14.40.00,4.50.00,501,14,840,6,SL,320.6
13245,Capital Express,NEW JALPAIGURI,NJP,DANAPUR,DNR,14.40.00,4.50.00,501,14,840,6,3A,829.08
13245,Capital Express,NEW JALPAIGURI,NJP,DANAPUR,DNR,14.40.00,4.50.00,501,14,840,6,2A,1375.12
14708,MUMBAI BANDRA - BIKANER Ranakpur Exp,MUMBAI BANDRA TERMINUS,BDTS,BIKANER JN,BKN,15.00.00,15.35.00,1212,24,1440,15,SL,747.2
14708,MUMBAI BANDRA - BIKANER Ranakpur Exp,MUMBAI BANDRA TERMINUS,BDTS,BIKANER JN,BKN,15.00.00,15.35.00,1212,24,1440,15,3A,1948.9
14708,MUMBAI BANDRA - BIKANER Ranakpur Exp,MUMBAI BANDRA TERMINUS,BDTS,BIKANER JN,BKN,15.00.00,15.35.00,1212,24,1440,15,2A,3241.5
14711,Haridwar Shri Ganganagar InterCity Express,HARIDWAR JN,HW,SHRI GANGANAGAR,SGNR,14.05.00,23.55.00,485,9,540,6,SL,311
14711,Haridwar Shri Ganganagar InterCity Express,HARIDWAR JN,HW,SHRI GANGANAGAR,SGNR,14.05.00,23.55.00,485,9,540,6,3A,803.88
14711,Haridwar Shri Ganganagar InterCity Express,HARIDWAR JN,HW,SHRI GANGANAGAR,SGNR,14.05.00,23.55.00,485,9,540,6,2A,1333.12
14712,Shriganganagar Haridwar Express,SHRI GANGANAGAR,SGNR,HARIDWAR JN,HW,4.10.00,13.35.00,485,9,540,6,SL,311
14712,Shriganganagar Haridwar Express,SHRI GANGANAGAR,SGNR,HARIDWAR JN,HW,4.10.00,13.35.00,485,9,540,6,3A,803.88
14712,Shriganganagar Haridwar Express,SHRI GANGANAGAR,SGNR,HARIDWAR JN,HW,4.10.00,13.35.00,485,9,540,6,2A,1333.12
14723,Kalindi Express,KANPUR CENTRAL,CNB,Bhiwani,BNW,17.05.00,9.40.00,605,16,960,8,SL,383
14723,Kalindi Express,KANPUR CENTRAL,CNB,Bhiwani,BNW,17.05.00,9.40.00,605,16,960,8,3A,992.88
14723,Kalindi Express,KANPUR CENTRAL,CNB,Bhiwani,BNW,17.05.00,9.40.00,605,16,960,8,2A,1648.12
14724,Kalindi Express,Bhiwani,BNW,KANPUR CENTRAL,CNB,18.15.00,11.10.00,605,16,960,8,SL,383
14724,Kalindi Express,Bhiwani,BNW,KANPUR CENTRAL,CNB,18.15.00,11.10.00,605,16,960,8,3A,992.88
14724,Kalindi Express,Bhiwani,BNW,KANPUR CENTRAL,CNB,18.15.00,11.10.00,605,16,960,8,2A,1648.12
14731,Delhi Bhatinda Intercity Express,OLD DELHI,DLI,BHATINDA JN,BTI,14.15.00,22.15.00,399,8,480,5,SL,259.4
14731,Delhi Bhatinda Intercity Express,OLD DELHI,DLI,BHATINDA JN,BTI,14.15.00,22.15.00,399,8,480,5,3A,668.42
14731,Delhi Bhatinda Intercity Express,OLD DELHI,DLI,BHATINDA JN,BTI,14.15.00,22.15.00,399,8,480,5,2A,1107.38
14732,Bhatinda Delhi Express,BHATINDA JN,BTI,OLD DELHI,DLI,5.05.00,12.45.00,399,7,420,5,SL,259.4
14732,Bhatinda Delhi Express,BHATINDA JN,BTI,OLD DELHI,DLI,5.05.00,12.45.00,399,7,420,5,3A,668.42
14732,Bhatinda Delhi Express,BHATINDA JN,BTI,OLD DELHI,DLI,5.05.00,12.45.00,399,7,420,5,2A,1107.38
14795,Ekta Express,Bhiwani,BNW,Kalka,KLK,4.30.00,11.10.00,299,6,360,4,SL,199.4
14795,Ekta Express,Bhiwani,BNW,Kalka,KLK,4.30.00,11.10.00,299,6,360,4,3A,510.93
14795,Ekta Express,Bhiwani,BNW,Kalka,KLK,4.30.00,11.10.00,299,6,360,4,2A,844.88
14796,Ekta Express,Kalka,KLK,Bhiwani,BNW,16.50.00,23.20.00,299,6,360,4,SL,199.4
14796,Ekta Express,Kalka,KLK,Bhiwani,BNW,16.50.00,23.20.00,299,6,360,4,3A,510.93
14796,Ekta Express,Kalka,KLK,Bhiwani,BNW,16.50.00,23.20.00,299,6,360,4,2A,844.88
14801,Jodhpur Gandhidham Express,JODHPUR JN,JU,GANDHIDHAM BG,GIMB,20.45.00,6.30.00,559,9,540,7,SL,355.4
14801,Jodhpur Gandhidham Express,JODHPUR JN,JU,GANDHIDHAM BG,GIMB,20.45.00,6.30.00,559,9,540,7,3A,920.42
14801,Jodhpur Gandhidham Express,JODHPUR JN,JU,GANDHIDHAM BG,GIMB,20.45.00,6.30.00,559,9,540,7,2A,1527.38
14802,Gandhidham Jodhpur Express,GANDHIDHAM BG,GIMB,JODHPUR JN,JU,20.30.00,5.40.00,559,9,540,7,SL,355.4
14802,Gandhidham Jodhpur Express,GANDHIDHAM BG,GIMB,JODHPUR JN,JU,20.30.00,5.40.00,559,9,540,7,3A,920.42
14802,Gandhidham Jodhpur Express,GANDHIDHAM BG,GIMB,JODHPUR JN,JU,20.30.00,5.40.00,559,9,540,7,2A,1527.38
14809,Jaisalmer Jodhpur Express,JAISALMER,JSM,JODHPUR JN,JU,23.30.00,5.15.00,301,5,300,4,SL,200.6
